WB_ID,WB_KEY,WB_UPDATED,WB_STATUS,WB_TITLE,WB_GUESS1,WB_GUESS2,WB_GUESS3,WB_SCORE,NAME,NAME_LOCAL,NAME_ALT,WOE_NAME,GN_NAME,REGION
naturalEarth.646,Hebei|China,7/21/2014 16:47:54,V,Hebei,Hebei,Shenge,Sheng,22.3907603,Hebei,河北,Héběi,Hebei,Hebei Sheng,North China
naturalEarth.585,Prince Edward Island|Canada,7/21/2014 16:47:49,V,Prince Edward Island,Prince Edward Island,"Saint-Aimé-du-Lac-des-Îles, Quebec",Îles du Prince-de-Monaco,21.93406337,Prince Edward Island,,Île de Saint-Jean|Île du Prince-Édouard,Prince Edward Island,Prince Edward Island,Eastern Canada
naturalEarth.653,Shanghai|China,7/21/2014 16:47:55,V,Shanghai,Shanghai,Shanghai Masters (tennis),Shanghai International Circuit,21.92435107,Shanghai,上海|上海,Shànghǎi,Shanghai,Shanghai Shi,East China
naturalEarth.583,Nova Scotia|Canada,7/21/2014 16:47:49,V,Nova Scotia,Nova Scotia,Acadia University,Acadia,21.64150303,Nova Scotia,,Acadia|Nouvelle-Écosse,Nova Scotia,Nova Scotia,Eastern Canada
naturalEarth.582,New Brunswick|Canada,7/21/2014 16:47:48,V,New Brunswick,New Brunswick,Acadia,"New Brunswick, New Jersey",21.55848538,New Brunswick,,Nouveau-Brunswick|Acadia,New Brunswick,New Brunswick,Eastern Canada
naturalEarth.4451,District of Columbia|United States of America,7/21/2014 16:51:56,V,"Washington, D.C.","Washington, D.C.",University of the District of Columbia,Direct current,21.41066448,District of Columbia,,DC|D.C.,District of Columbia,District of Columbia,South
naturalEarth.641,Shanxi|China,7/21/2014 16:47:54,V,Shanxi,Shanxi,"Monan, Shanxi","Mingxing, Shanxi",21.39856525,Shanxi,山西,Shānxī,Shanxi,Shanxi Sheng,North China
naturalEarth.635,Guangdong|China,7/21/2014 16:47:54,V,Guangdong,Guangdong,Guangdong International Circuit,东京,21.07730593,Guangdong,廣東|广东,Guǎngdōng,Guangdong,Guangdong Sheng,South Central China
naturalEarth.3153,Camarines Sur|Philippines,7/21/2014 16:50:39,V,Camarines Sur,Camarines Sur,Legislative districts of Camarines Sur,"Naga, Camarines Sur",20.95523214,Camarines Sur,,,Camarines Sur,Province of Camarines Sur,Bicol (Region V)
naturalEarth.3205,Misamis Oriental|Philippines,7/21/2014 16:50:41,V,Misamis Oriental,Misamis Oriental,Legislative districts of Misamis Oriental,,20.95321423,Misamis Oriental,,,Misamis Oriental,Province of Misamis Oriental,Northern Mindanao (Region X)
naturalEarth.3206,Davao del Sur|Philippines,7/21/2014 16:50:41,V,Davao del Sur,Davao del Sur,Legislative districts of Davao del Sur,,20.94917804,Davao del Sur,,,Davao del Sur,Province of Davao del Sur,Davao (Region XI)
naturalEarth.3187,Lanao del Sur|Philippines,7/21/2014 16:50:40,V,Lanao del Sur,Lanao del Sur,Legislative districts of Lanao del Sur,,20.9446018,Lanao del Sur,,,Lanao del Sur,Province of Lanao del Sur,Autonomous Region in Muslim Mindanao (ARMM)
naturalEarth.3207,Davao Oriental|Philippines,7/21/2014 16:50:41,V,Davao Oriental,Davao Oriental,Legislative districts of Davao Oriental,,20.94000003,Davao Oriental,,,Davao Oriental,Province of Davao Oriental,Davao (Region XI)
naturalEarth.3161,Ilocos Norte|Philippines,7/21/2014 16:50:39,V,Ilocos Norte,Ilocos Norte,Legislative districts of Ilocos Norte,,20.9373171,Ilocos Norte,,,Ilocos Norte,Province of Ilocos Norte,Ilocos (Region I)
naturalEarth.3142,Misamis Occidental|Philippines,7/21/2014 16:50:38,V,Misamis Occidental,Misamis Occidental,Legislative districts of Misamis Occidental,Misamis Occidental Science and Technology High School,20.93634921,Misamis Occidental,,,Misamis Occidental,Province of Misamis Occidental,Northern Mindanao (Region X)
naturalEarth.3209,South Cotabato|Philippines,7/21/2014 16:50:41,V,South Cotabato,South Cotabato,Legislative districts of South Cotabato,,20.93562126,South Cotabato,,,South Cotabato,Province of South Cotabato,SOCCSKSARGEN (Region XII)
naturalEarth.578,Northwest Territories|Canada,7/21/2014 16:47:48,V,Northwest Territories,Northwest Territories,Northwest Territories (electoral district),Districts of the Northwest Territories,20.92760086,Northwest Territories,,Territoires du Nord-Ouest,Northwest Territories,Northwest Territories,Northern Canada
naturalEarth.3195,Southern Leyte|Philippines,7/21/2014 16:50:40,V,Southern Leyte,Southern Leyte,Legislative district of Southern Leyte,,20.90241373,Southern Leyte,,,Southern Leyte,Province of Southern Leyte,Eastern Visayas (Region VIII)
naturalEarth.3196,Northern Samar|Philippines,7/21/2014 16:50:40,V,Northern Samar,Northern Samar,Legislative districts of Northern Samar,,20.89133009,Northern Samar,,,Northern Samar,Province of Northern Samar,Eastern Visayas (Region VIII)
naturalEarth.3175,La Union|Philippines,7/21/2014 16:50:40,V,La Union,La Union,La Unión Department,Legislative districts of La Union,20.86837205,La Union,,,La Union,Province of La Union,Ilocos (Region I)
naturalEarth.3181,Rizal|Philippines,7/21/2014 16:50:40,V,Rizal,Rizal,"Rizal, Palawan",José Rizal,20.68092379,Rizal,,,Rizal,Province of Rizal,CALABARZON (Region IV-A)
